traceID,spanID,parentSpanID,operationName,serviceName
13cb308dd05e677c6af921ab02b01f9e,2d2912325e350370,cbf2bee910a4a64b,router frontend egress,frontendproxy
13cb308dd05e677c6af921ab02b01f9e,cbf2bee910a4a64b,c9cb646b0af71e79,ingress,frontendproxy
9e7bf1288f3e3b4f350c38d96fc4f0b9,fec86f4ebebf5f6a,2d37faa9990fb8b8,ingress,frontendproxy
9e7bf1288f3e3b4f350c38d96fc4f0b9,b102ce080962162b,fec86f4ebebf5f6a,router frontend egress,frontendproxy
96a946ddb296d6e8d34860601e2816cf,f67a4309424eeea8,093c1a4941dbb07e,router frontend egress,frontendproxy
96a946ddb296d6e8d34860601e2816cf,093c1a4941dbb07e,4efcfb5dfd6bf981,ingress,frontendproxy
2d4d248a1b68c22d22319070e58ccde8,75d1ebc431a0b16c,5f2a0422840438a3,router frontend egress,frontendproxy
2d4d248a1b68c22d22319070e58ccde8,5f2a0422840438a3,94f3abf51871ec36,ingress,frontendproxy
f115e7bbc0f599fe53d0ef0870f9affb,ed44eae085d464ea,34be2768d3af5b93,router frontend egress,frontendproxy
f115e7bbc0f599fe53d0ef0870f9affb,34be2768d3af5b93,0a126a55e4565754,ingress,frontendproxy
a381340917b1a72f076595f9f0e1ac99,489c848f649c2d5d,34536fb874c654f1,router frontend egress,frontendproxy
a381340917b1a72f076595f9f0e1ac99,34536fb874c654f1,96e3e221eed6977a,ingress,frontendproxy
8a96d29b391fe66a578c93396f3bd4f0,387cfb0b9a71a802,ff4a53dee4c71db5,router frontend egress,frontendproxy
8a96d29b391fe66a578c93396f3bd4f0,ff4a53dee4c71db5,616077d50d78f22e,ingress,frontendproxy
9cbfafb2879f2ba21232d6c09a355318,2080affb34b6749d,84ebb1d801d436fa,router frontend egress,frontendproxy
9cbfafb2879f2ba21232d6c09a355318,84ebb1d801d436fa,6ee88d12ff47a5f8,ingress,frontendproxy
8e6407cc6478dd947a6cfdc4ec48a55a,60a7120981b5bf9c,45857312d1738c33,router frontend egress,frontendproxy
8e6407cc6478dd947a6cfdc4ec48a55a,45857312d1738c33,ed56da7637476a55,ingress,frontendproxy
8e6407cc6478dd947a6cfdc4ec48a55a,a25450616a904f60,b6e671bdd6161c56,oteldemo.ProductCatalogService/ListProducts,productcatalogservice
8e6407cc6478dd947a6cfdc4ec48a55a,fdb95932630c3fce,f16ea8bd29cbf64c,oteldemo.ProductCatalogService/GetProduct,productcatalogservice
8e6407cc6478dd947a6cfdc4ec48a55a,ad6a23eace836623,bfe0a8cee14f76ee,oteldemo.ProductCatalogService/GetProduct,productcatalogservice
8e6407cc6478dd947a6cfdc4ec48a55a,28e91f6de3b22017,255d2e3a30bece62,oteldemo.ProductCatalogService/GetProduct,productcatalogservice
8e6407cc6478dd947a6cfdc4ec48a55a,aa4035969ae54a05,5133e889fea69b3e,oteldemo.ProductCatalogService/GetProduct,productcatalogservice
8e6407cc6478dd947a6cfdc4ec48a55a,ed56da7637476a55,,HTTP GET,frontend-web
8e6407cc6478dd947a6cfdc4ec48a55a,b6e671bdd6161c56,238c484d181dcb1f,/oteldemo.ProductCatalogService/ListProducts,recommendationservice
8e6407cc6478dd947a6cfdc4ec48a55a,3b03655cef0492d3,238c484d181dcb1f,/schema.v1.Service/ResolveBoolean,recommendationservice
8e6407cc6478dd947a6cfdc4ec48a55a,0bf4c51121e216e9,f4b66dc8fc99017d,/oteldemo.RecommendationService/ListRecommendations,recommendationservice
8e6407cc6478dd947a6cfdc4ec48a55a,238c484d181dcb1f,0bf4c51121e216e9,get_product_list,recommendationservice
8e6407cc6478dd947a6cfdc4ec48a55a,a035d38455acc61c,1e23e2b84f02132d,resolveBoolean,flagd
8e6407cc6478dd947a6cfdc4ec48a55a,9cb6d7874bd5d5ce,a035d38455acc61c,resolveBoolean,flagd
8e6407cc6478dd947a6cfdc4ec48a55a,1e23e2b84f02132d,3b03655cef0492d3,schema.v1.Service/ResolveBoolean,flagd
df623fa58061933fe13a4b70173afada,ffec12d803ef032b,f999edf1ab2cf1ba,router frontend egress,frontendproxy
df623fa58061933fe13a4b70173afada,f999edf1ab2cf1ba,634232b3ad478e03,ingress,frontendproxy
df623fa58061933fe13a4b70173afada,634232b3ad478e03,,HTTP GET,frontend-web
df623fa58061933fe13a4b70173afada,199aee0f22dc1275,ae0636fc46f49253,POST /oteldemo.CartService/GetCart,cartservice
46b3cf5a786dd350105fa43474c1a5dc,7c151477627fecb7,40ceb48e593c4887,router frontend egress,frontendproxy
46b3cf5a786dd350105fa43474c1a5dc,40ceb48e593c4887,,ingress,frontendproxy
530f40675983c2d56372979334010696,5656dc8b70f0ef66,57560ae43a62d745,router flagservice egress,frontendproxy
530f40675983c2d56372979334010696,57560ae43a62d745,59fabd3dcb0522a6,ingress,frontendproxy
530f40675983c2d56372979334010696,59fabd3dcb0522a6,,HTTP POST,frontend-web
530f40675983c2d56372979334010696,b491d982988ab89f,e57638d05e13901a,resolveAll,flagd
530f40675983c2d56372979334010696,ab460804d4a7555a,5656dc8b70f0ef66,flagd.evaluation.v1.Service/ResolveAll,flagd
530f40675983c2d56372979334010696,e57638d05e13901a,ab460804d4a7555a,resolveAll,flagd
15d36b224a3ea8b07537f4d41a6223dd,793a5a2311df3713,c194f0134697deb4,router frontend egress,frontendproxy
15d36b224a3ea8b07537f4d41a6223dd,c194f0134697deb4,932dce6c32f73be9,ingress,frontendproxy
c195fe767f98d03a80e498dc4caf99cd,1ce0bc408b2e403f,764f9afba4c82fc2,router frontend egress,frontendproxy
c195fe767f98d03a80e498dc4caf99cd,107e69ad3f2da531,fd45d2b861cc0707,oteldemo.ProductCatalogService/GetProduct,productcatalogservice
